bairro_origem, bairro_destino, logradouro, observacao, peso
Cohab, Ibura, Rua Brejo da Cruz, , 2.0
Cohab, Jordão, Rua Jaguaretama, , 2.0
Cohab, Barro, Avenida Doze de Junho, , 2.0
Barro, Jardim São Paulo, Rua Real, , 1 *
Barro, Ibura, Avenida Dois Rios, , 1.5
Barro, Tejipió, Rua do Sancho, , 1 *
Barro, Areias, Rua Alheiros Maia, , 1 *
Jordão, Ibura, Rua Elesbão Veloso, , 2.0
Jordão, Boa Viagem, Rua Remígio, , 0.3255
Ibura, Ipsep, Rua São Nicolau, , 1 *
Ibura, Imbiribeira, Avenida Presidente Dutra, , 0.935
Ibura, Boa Viagem, Avenida Marechal Mascarenhas de Morais, , 1.0
Ibura, Caçote, Avenida Recife, , 1.0
Jardim São Paulo, Tejipió, Rua Professor Henrique de Lucena, , 1*
Jardim São Paulo, Curado, Rua da Capela, , 1 *
Jardim São Paulo, San Martin, 1A Travessa Bezinha, , 1 *
Jardim São Paulo, Estância, Rua Senador Alberto Pasqualini, , 0.39
Jardim São Paulo, Areias, Rua José Natário, , 1 *
Tejipió, Coqueiral, Rua Quinze de Novembro, , 2.0
Tejipió, Sancho, Rua Matoso da Câmara, , 1 *
Tejipió, Curado, Avenida Padre Ibiapina, , 0.411
Areias, Estância, Rua Tuparetama, , 2.0
Areias, Jiquiá, Avenida Tapajós, , 2.0
Areias, Caçote, Rua Aurora Caçote, , 0.393
Boa Viagem, Imbiribeira, Rua Ribeiro de Brito, , 1.0
Boa Viagem, Pina, Avenida Boa Viagem, , 1.0
Ipsep, Imbiribeira, Rua Pampulha, , 1.5
Imbiribeira, Afogados, Rua Arquiteto Luiz Nunes, , 1 *
Imbiribeira, Pina, Viaduto Dom João VI, , 1.5
Curado, Sancho, Avenida Liberdade, , 0.394
Curado, Várzea, Rua Dr George William Butler, , 1 *
Curado, Cidade Universitária, Avenida Professor Luiz Freire, , 1 *
Curado, Engenho do Meio, Rua Antônio Curado, , 1 *
Curado, Torrões, Rua Poção, , 2.0
Curado, San Martin, Rua Paudalho, , 1 *
San Martin, Torrões, Rua Delmiro Gouveia, , 2.0
San Martin, Cordeiro, Rua Capitão Antônio Dias, , 1 *
San Martin, Jiquiá, Avenida General San Martin, , 0.55
San Martin, Mustardinha, Rua Natalino Teixeira, , 1 *
San Martin, Mangueira, Rua Bom Jardim, , 1 *
San Martin, Bongi, Rua Isaac Markman, , 1 *
Estância, Jiquiá, Avenida João Cabral de Melo Neto, , 1 *
Coqueiral, Sancho, Rua Paulino de Farias, , 2.0
Coqueiral, Totó, Rua da Encosta, , 2.0
Caxangá, Sítio dos Pintos, Rua Ribeiro Pessoa, , 1 *
Caxangá, Dois Irmãos, Rua Manuel de Medeiros, , 1 *
Caxangá, Iputinga, Avenida Caxangá, , 1.0
Caxangá, Várzea, Avenida Afonso Olindense, , 1 *
Caxangá, Apipucos, Rua Zuleide Moura, , 1 *
Várzea, Iputinga, Avenida Luís de Lacerda, , 1 *
Várzea, Cidade Universitária, Avenida da Arquitetura, , 1 *
Recife, Santo Amaro, Ponte de Limoeiro, , 1 *
Recife, São José, Ponte 12 de Setembro, , 0.85
Recife, Santo Antônio, Ponte Maurício de Nassau, , 0.77
Santo Antônio, São José, Avenida Dantas Barreto, , 0.55
Santo Antônio, Boa Vista, Avenida Capibaribe-Rio, , 1 *
Santo Antônio, Coelhos, Rua Velha, , 0.4
São José, Coelhos, Avenida Rio Capibaribe, , 0.47 #osm - 0.67 #tipo avenida
São José, Boa Vista, Rua Doutor José Mariano, , 0.381
São José, Cabanga, Avenida Engenheiro José Estelita, , 1 *
São José, Afogados, Rua Imperial, , 1 *
São José, Ilha Joana Bezerra, Rua Dom Paulo II, , 1 *
Cabanga, Afogados, Avenida Sul Governador Cid Sampaio, ,  0.45 #osm - 0.67 #tipo avenida
Cabanga, Pina, Avenida Antônio de Góes, , 0.78
Santo Amaro, Campo Grande, Avenida Dr Jayme da Fonte, , 1 *
Santo Amaro, Soledade, Rua do Príncipe, , 0.57
Santo Amaro, Espinheiro, Avenida João de Barros, , 0.67
Santo Amaro, Boa Vista, Rua dao Hospício , , 0.66
Santo Amaro, Torreão, Avenida Norte Miguel Arraes de Alencar, , 1.12
Boa Vista, Soledade, Avenida Conde da Boa vista, , 1.33
Boa Vista, Espinheiro, Rua Dr Leopoldo Lins, , 0.33
Boa Vista, Graças, Rua Dom Boscô, , 1 *
Boa Vista, Coelhos, Rua dos Coelhos, , 1
Boa Vista, Paissandu, Avenida Lins Petit, , 1
Boa Vista, Derby, Avenida Governador Carlos de Lima Cavalcanti, , 1
Boa Vista, Ilha do Leite, Rua Marques Amorim, , 1
Coelhos, Ilha do Leite, Rua Francisco Alves, , 0.7875
Coelhos, Ilha Joana Bezerra, Ponte Viaduto Joaquim Cardozo , , 1 ##conferir essa em especifico
Brasília Teimosa, Pina, Rua do Jaú, , 1
Graças, Aflitos, Rua Edgar D' Amorim, , 1
Graças, Espinheiro, Rua da Hora, , 1
Graças, Derby, Rua Amaro Bezerra, , 0.18
Graças, Madalena, Rua Joaquim Nabuco, , 
Graças, Torre, Rua Amélia, , 1
Graças, Encruzilhada, Avenida Santos Dumont, , 1
Graças, Rosarinho, Rua Desembargador Martins Pereira, , 1
Graças, Tamarineira, Avenida Conselheiro Rose e Silva, , 1
Graças, Jaqueira, Rua do Futuro, , 1
Madalena, Torre, Rua Real da Torre, , 1
Madalena, Paissandu, Ponte Prefeito Lima Castro, , 1
Madalena, Derby, Ponte Estácio Coimbras, , 1
Madalena, Ilha do Retiro, Estrada dos Remédios, , 1
Madalena, Prado, Rua João Ivo da Silva, , 1
Madalena, Zumbi, Rua Dom Manoel da Costa, , 1
Caçote, Ipsep, Rua Sindicato dos Bancários, , 1
Jiquiá, Afogados, Rua São Miguel, , 1
Jiquiá, Mangueira, Rua Medina, , 1
Sancho, Totó, Rua Pio XII, , 1
Totó, Curado, Rua Utinga, , 1
Afogados, Mangueira, Avenida Central, , 1
Afogados, Mustardinha, Avenida Mustardinha, , 1
Afogados, Bongi, Rua Apucarana, , 1
Afogados, Prado, Rua Santa Edwirges, , 1
Afogados, Ilha do Retiro, Rua Cosme Viana, , 1
Cidade Universitária, Iputinga, Viaduto Caxangá, , 1
Cidade Universitária, Engenho do Meio, Rua Costa Sepúlveda, , 1
Engenho do Meio, Iputinga, Rua Governador Lopo Garro, , 1
Engenho do Meio, Cordeiro, Rua Lindolfo Color, , 1
Engenho do Meio, Torrões, Rua Carneiro de Mariz, , 1
Torrões, Cordeiro, Rua Dezesseis de Outubro, , 1
Cordeiro, Prado, Rua Gomes Taborda, , 1
Cordeiro, Zumbi, Rua Paraguassú, , 1
Cordeiro, Iputinga, Rua Bom Pastor, , 1
Cordeiro, Torre, Rua Cantora Clara Nunes, , 1
Zumbi, Torre, Rua Conselheiro Theodoro, , 1
Aflitos, Encruzilhada, Rua Carneiro Viléla, , 1
Aflitos, Espinheiro, Rua Quarenta e Oito, , 1
