bairro,microrregiao
Aflitos,3.1
Afogados,5.1
Agua Fria,2.2
Alto Do Mandu,3.1
Alto Jose Bonifacio,3.2
Alto Jose Do Pinho,3.2
Alto Santa Teresinha,2.2
Apipucos,3.1
Areias,5.2
Arruda,2.1
Barro,5.3
Beberibe,2.2
Boa Viagem,6.1
Boa Vista,1.2
Bomba Do Hemeterio,2.2
Bongi,5.1
Brasilia Teimosa,6.1
Brejo Da Guabiraba,3.3
Brejo De Beberibe,3.3
Cabanga,1.2
Cacote,5.2
Cajueiro,2.2
Campina Do Barreto,2.1
Campo Grande,2.1
Casa Amarela,3.1
Casa Forte,3.1
Caxanga,4.3
Cidade Universitaria,4.3
Coelhos,1.3
Cohab,6.3
Coqueiral,5.3
Cordeiro,4.1
Corrego Do Jenipapo,3.3
Curado,5.3
Derby,3.1
Dois Irmaos,3.1
Dois Unidos,2.2
Encruzilhada,2.1
Engenho Do Meio,4.2
Espinheiro,3.1
Estancia,5.2
Fundao,2.2
Gracas,3.1
Guabiraba,3.3
Hipodromo,2.1
Ibura,6.2
Ilha Do Leite,1.2
Ilha Do Retiro,4.1
Ilha Joana Bezerra,1.3
Imbiribeira,6.1
Ipsep,6.1
Iputinga,4.1
Jaqueira,3.1
Jardim Sao Paulo,5.3
Jiquia,5.2
Jordao,6.2
Linha Do Tiro,2.2
Macaxeira,3.3
Madalena,4.1
Mangabeira,3.2
Mangueira,5.1
Monteiro,3.1
Morro Da Conceicao,3.2
Mustardinha,5.1
Nova Descoberta,3.3
Paissandu,1.2
Parnamirim,3.1
Passarinho,3.3
Pau-Ferro,3.3
Peixinhos,2.1
Pina,6.1
Poco,3.1
Ponto De Parada,2.1
Porto Da Madeira,2.2
Prado,4.1
Recife,1.1
Rosarinho,2.1
San Martin,5.1
Sancho,5.3
Santana,3.1
Santo Amaro,1.1
Santo Antonio,1.2
Sao Jose,1.2
Sitio Dos Pintos,3.1
Soledade,1.2
Tamarineira,3.1
Tejipio,5.3
Torre,4.1
Torreao,2.1
Torroes,4.2
Toto,5.3
Varzea,4.3
Vasco Da Gama,3.2
Zumbi,4.1
