R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Adrian Yanez;Gustavo Lopez;Adrian Yanez;KO/TKO;0.5
Trevin Giles;Roman Dolidze;Trevin Giles;Decision - Unanimous;1.0
Tai Tuivasa;Harry Hunsucker;Tai Tuivasa;KO/TKO;0.5
Cheyanne Buys;Montserrat Conejo;Montserrat Conejo;Decision - Unanimous;1.0
Marion Reneau;Macy Chiasson;Macy Chiasson;Decision - Unanimous;1.0
Leonardo Santos;Grant Dawson;Grant Dawson;KO/TKO;0.5
Song Kenan;Max Griffin;Max Griffin;KO/TKO;0.5
Derek Brunson;Kevin Holland;Derek Brunson;Decision - Unanimous;1.0
Montel Jackson;Jesse Strader;Montel Jackson;KO/TKO;0.5
Bruno Silva;JP Buys;Bruno Silva;KO/TKO;0.5
Manel Kape;Matheus Nicolau;Matheus Nicolau;Decision - Split;1.0
Misha Cirkunov;Ryan Spann;Ryan Spann;KO/TKO;0.5
Leon Edwards;Belal Muhammad;;Could Not Continue;2.0
Charles Jourdain;Marcelo Rojo;Charles Jourdain;KO/TKO;0.5
Eryk Anders;Darren Stewart;;Could Not Continue;2.0
Angela Hill;Ashley Yoder;Angela Hill;Decision - Unanimous;1.0
Jonathan Martinez;Davey Grant;Davey Grant;KO/TKO;0.5
Dan Ige;Gavin Tucker;Dan Ige;KO/TKO;0.5
Nasrat Haqparast;Rafa Garcia;Nasrat Haqparast;Decision - Unanimous;1.0
Cortney Casey;JJ Aldrich;JJ Aldrich;Decision - Split;1.0
Matthew Semelsberger;Jason Witt;Matthew Semelsberger;KO/TKO;0.5
Rani Yahya;Ray Rodriguez;Rani Yahya;Submission;0.5
Gloria de Paula;Jinh Yu Frey;Jinh Yu Frey;Decision - Unanimous;1.0
Dominick Cruz;Casey Kenney;Dominick Cruz;Decision - Split;1.0
Song Yadong;Kyler Phillips;Kyler Phillips;Decision - Unanimous;1.0
Petr Yan;Aljamain Sterling;Aljamain Sterling;DQ;2.0
Jan Blachowicz;Israel Adesanya;Jan Blachowicz;Decision - Unanimous;1.0
Thiago Santos;Aleksandar Rakic;Aleksandar Rakic;Decision - Unanimous;1.0
Joseph Benavidez;Askar Askarov;Askar Askarov;Decision - Unanimous;1.0
Amanda Nunes;Megan Anderson;Amanda Nunes;Submission;0.5
Islam Makhachev;Drew Dober;Islam Makhachev;Submission;0.5
Tim Elliott;Jordan Espinosa;Tim Elliott;Decision - Unanimous;1.0
Livinha Souza;Amanda Lemos;Amanda Lemos;KO/TKO;0.5
Rogerio Bontorin;Kai Kara-France;Kai Kara-France;KO/TKO;0.5
Uros Medic;Aalon Cruz;Uros Medic;KO/TKO;0.5
Kennedy Nzechukwu;Carlos Ulberg;Kennedy Nzechukwu;KO/TKO;0.5
Sean Brady;Jake Matthews;Sean Brady;Submission;0.5
Mario Bautista;Trevin Jones;Trevin Jones;KO/TKO;0.5
Jairzinho Rozenstruik;Ciryl Gane;Ciryl Gane;Decision - Unanimous;1.0
Montana De La Rosa;Mayra Bueno Silva;;Decision - Majority;1.0
Vince Cachero;Ronnie Lawrence;Ronnie Lawrence;KO/TKO;0.5
Alexander Hernandez;Thiago Moises;Thiago Moises;Decision - Unanimous;1.0
