bairro,grau
Aflitos,0
Afogados,0
Alto Do Mandu,0
Alto José Bonifácio,0
Alto José Do Pinho,0
Alto Santa Teresinha,0
Apipucos,0
Areias,0
Arruda,0
Barro,0
Beberibe,0
Boa Viagem,0
Boa Vista,0
Bomba Do Hemetério,0
Bongi,0
Brasília Teimosa,0
Brejo Da Guabiraba,0
Brejo De Beberibe,0
Cabanga,0
Cajueiro,0
Campina Do Barreto,0
Campo Grande,0
Casa Amarela,0
Casa Forte,0
Caxangá,0
Caçote,0
Cidade Universitária,0
Coelhos,0
Cohab,0
Coqueiral,0
Cordeiro,0
Curado,0
Córrego Do Jenipapo,0
Derby,0
Dois Irmãos,0
Dois Unidos,0
Encruzilhada,0
Engenho Do Meio,0
Espinheiro,0
Estância,0
Fundão,0
Graças,0
Guabiraba,0
Hipódromo,0
Ibura,0
Ilha Do Leite,0
Ilha Do Retiro,0
Ilha Joana Bezerra,0
Imbiribeira,0
Ipsep,0
Iputinga,0
Jaqueira,0
Jardim São Paulo,0
Jiquiá,0
Jordão,0
Linha Do Tiro,0
Macaxeira,0
Madalena,0
Mangabeira,0
Mangueira,0
Monteiro,0
Morro Da Conceição,0
Mustardinha,0
Nova Descoberta,0
Paissandu,0
Parnamirim,0
Passarinho,0
Pau-Ferro,0
Peixinhos,0
Pina,0
Ponto De Parada,0
Porto Da Madeira,0
Poço,0
Prado,0
Recife,0
Rosarinho,0
San Martin,0
Sancho,0
Santana,0
Santo Amaro,0
Santo Antônio,0
Soledade,0
São José,0
Sítio Dos Pintos,0
Tamarineira,0
Tejipió,0
Torre,0
Torreão,0
Torrões,0
Totó,0
Vasco Da Gama,0
Várzea,0
Zumbi,0
Água Fria,0
