R_fighter;B_fighter;Fight_type;win_by;Winner;peso
Aalon Cruz;Spike Carlyle;Featherweight Bout;KO/TKO;Spike Carlyle;0.5
Uros Medic;Aalon Cruz;Lightweight Bout;KO/TKO;Uros Medic;0.5
Andrei Arlovski;Aaron Brink;Heavyweight Bout;Submission;Andrei Arlovski;0.5
Jack Shore;Aaron Phillips;Bantamweight Bout;Submission;Jack Shore;0.5
Aaron Phillips;Matt Hobar;Bantamweight Bout;Decision - Unanimous;Matt Hobar;2.0
Sam Sicilia;Aaron Phillips;Featherweight Bout;Decision - Unanimous;Sam Sicilia;2.0
Aaron Riley;Joe Brammer;Lightweight Bout;Decision - Unanimous;Aaron Riley;2.0
Aaron Riley;Jorge Gurgel;Lightweight Bout;Decision - Unanimous;Aaron Riley;2.0
Aaron Riley;Justin Salas;Lightweight Bout;Decision - Split;Justin Salas;3.0
Robbie Lawler;Aaron Riley;Welterweight Bout;Decision - Unanimous;Robbie Lawler;2.0
Ross Pearson;Aaron Riley;Lightweight Bout;TKO - Doctor's Stoppage;Ross Pearson;0.5
Shane Nelson;Aaron Riley;Lightweight Bout;KO/TKO;Shane Nelson;0.5
Spencer Fisher;Aaron Riley;Welterweight Bout;TKO - Doctor's Stoppage;Spencer Fisher;0.5
Tony Ferguson;Aaron Riley;Lightweight Bout;TKO - Doctor's Stoppage;Tony Ferguson;0.5
James Te Huna;Aaron Rosa;Light Heavyweight Bout;KO/TKO;James Te Huna;0.5
Joey Beltran;Aaron Rosa;Heavyweight Bout;KO/TKO;Joey Beltran;0.5
Aaron Rosa;Matt Lucas;Light Heavyweight Bout;Decision - Majority;Aaron Rosa;3.0
Brad Tavares;Aaron Simpson;Middleweight Bout;Decision - Unanimous;Aaron Simpson;2.0
Chris Leben;Aaron Simpson;Middleweight Bout;KO/TKO;Chris Leben;0.5
Aaron Simpson;Ed Herman;Middleweight Bout;KO/TKO;Aaron Simpson;0.5
Aaron Simpson;Eric Schafer;Middleweight Bout;Decision - Unanimous;Aaron Simpson;2.0
Aaron Simpson;Kenny Robertson;Welterweight Bout;Decision - Unanimous;Aaron Simpson;2.0
Mario Miranda;Aaron Simpson;Middleweight Bout;Decision - Unanimous;Aaron Simpson;2.0
