R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Adrian Yanez;Gustavo Lopez;Bantamweight Bout;KO/TKO;0.5
Trevin Giles;Roman Dolidze;Middleweight Bout;Decision - Unanimous;1.0
Tai Tuivasa;Harry Hunsucker;Heavyweight Bout;KO/TKO;0.5
Cheyanne Buys;Montserrat Conejo;Women's Strawweight Bout;Decision - Unanimous;1.0
Marion Reneau;Macy Chiasson;Women's Bantamweight Bout;Decision - Unanimous;1.0
Leonardo Santos;Grant Dawson;Lightweight Bout;KO/TKO;0.5
Song Kenan;Max Griffin;Welterweight Bout;KO/TKO;0.5
Derek Brunson;Kevin Holland;Middleweight Bout;Decision - Unanimous;1.0
Montel Jackson;Jesse Strader;Bantamweight Bout;KO/TKO;0.5
Bruno Silva;JP Buys;Flyweight Bout;KO/TKO;0.5
Manel Kape;Matheus Nicolau;Flyweight Bout;Decision - Split;1.0
Misha Cirkunov;Ryan Spann;Light Heavyweight Bout;KO/TKO;0.5
Leon Edwards;Belal Muhammad;Welterweight Bout;Could Not Continue;2.0
Charles Jourdain;Marcelo Rojo;Featherweight Bout;KO/TKO;0.5
Eryk Anders;Darren Stewart;Middleweight Bout;Could Not Continue;2.0
Angela Hill;Ashley Yoder;Women's Strawweight Bout;Decision - Unanimous;1.0
Jonathan Martinez;Davey Grant;Bantamweight Bout;KO/TKO;0.5
Dan Ige;Gavin Tucker;Featherweight Bout;KO/TKO;0.5
Nasrat Haqparast;Rafa Garcia;Lightweight Bout;Decision - Unanimous;1.0
Cortney Casey;JJ Aldrich;Women's Flyweight Bout;Decision - Split;1.0
Matthew Semelsberger;Jason Witt;Welterweight Bout;KO/TKO;0.5
Rani Yahya;Ray Rodriguez;Bantamweight Bout;Submission;0.5
Gloria de Paula;Jinh Yu Frey;Women's Strawweight Bout;Decision - Unanimous;1.0
Dominick Cruz;Casey Kenney;Bantamweight Bout;Decision - Split;1.0
Song Yadong;Kyler Phillips;Bantamweight Bout;Decision - Unanimous;1.0
Petr Yan;Aljamain Sterling;UFC Bantamweight Title Bout;DQ;2.0
Jan Blachowicz;Israel Adesanya;UFC Light Heavyweight Title Bout;Decision - Unanimous;1.0
