lutador,grau
Donald Cerrone,34
Jim Miller,34
Jeremy Stephens,32
Diego Sanchez,32
Demian Maia,32
Andrei Arlovski,32
Clay Guida,30
Rafael Dos Anjos,29
Gleison Tibau,28
Michael Bisping,27
Matt Brown,27
Joe Lauzon,26
Ross Pearson,26
Thiago Alves,26
Nate Marquardt,25
Tim Boetsch,24
Michael Johnson,24
Charles Oliveira,24
Josh Koscheck,24
Ed Herman,24
Alex Caceres,24
Neil Magny,24
Frank Mir,24
Stefan Struve,24
Darren Elkins,23
Lyoto Machida,23
Edson Barboza,23
Nik Lentz,23
Vitor Belfort,23
Nate Diaz,23
Ovince Saint Preux,22
Francisco Trinaldo,22
Rashad Evans,22
Dustin Poirier,22
Melvin Guillard,22
Chris Leben,22
Tim Means,22
Anderson Silva,22
Dennis Siver,21
Thiago Santos,21
Patrick Cote,21
Derrick Lewis,21
Jake Ellenberger,21
Yves Edwards,21
Frankie Edgar,21
Gabriel Gonzaga,21
Thales Leites,21
Evan Dunham,21
Max Holloway,21
Junior Dos Santos,20
Johny Hendricks,20
Alistair Overeem,20
Sam Alvey,20
Tito Ortiz,20
Yushin Okami,20
Glover Teixeira,20
Cole Miller,20
BJ Penn,20
Robbie Lawler,20
Jon Jones,20
CB Dollaway,20
Matt Hughes,19
Randy Couture,19
Jorge Masvidal,19
Rick Story,19
Ben Saunders,19
Mike Pyle,19
Ryan Bader,19
Joshua Burkman,19
Roy Nelson,19
Chris Lytle,19
Anthony Pettis,19
Brad Tavares,19
Thiago Tavares,18
Derek Brunson,18
Alex Oliveira,18
Iuri Alcantara,18
Chris Camozzi,18
Cheick Kongo,18
Cub Swanson,18
Sam Stout,18
Beneil Dariush,18
David Abbott,18
Chuck Liddell,18
Kelvin Gastelum,18
Dong Hyun Kim,18
Tony Ferguson,18
Ricardo Lamas,17
Mauricio Rua,17
Rani Yahya,17
John Makdessi,17
Georges St-Pierre,17
Gray Maynard,17
Kenny Florian,17
Rich Franklin,17
Matt Wiman,17
Joseph Benavidez,17
Anthony Johnson,17
Jon Fitch,17
Court McGee,17
Mark Hunt,17
Fabricio Werdum,17
Rafael Natal,17
Dennis Bermudez,17
Carlos Condit,17
Gian Villante,17
Gilbert Burns,16
Jessica Andrade,16
Angela Hill,16
Drew Dober,16
Brandon Vera,16
Randa Markos,16
John Lineker,16
Martin Kampmann,16
Dan Hooker,16
Marlon Vera,16
Andre Fili,16
Travis Browne,16
Alexander Gustafsson,16
John Dodson,16
Kevin Lee,16
Urijah Faber,16
Joe Stevenson,16
Marcus Davis,15
Mike Swick,15
Josh Neer,15
Louis Smolka,15
Walt Harris,15
Jorge Rivera,15
Aljamain Sterling,15
Jake Matthews,15
Matt Hamill,15
Evan Tanner,15
Dan Henderson,15
Michael Chiesa,15
Mark Munoz,15
Ben Rothwell,15
Robert Whittaker,15
Tim Elliott,15
Spencer Fisher,15
Chris Weidman,15
Uriah Hall,15
Erick Silva,15
Cezar Ferreira,15
Alessio Sakara,15
Anthony Smith,15
Anthony Rocco Martin,15
Jussier Formiga,15
Stephen Thompson,15
Renan Barao,15
Manvel Gamburyan,15
Eddie Wineland,15
