lutador,grau
Aalon Cruz,2
Spike Carlyle,3
Uros Medic,1
Andrei Arlovski,32
Aaron Brink,1
Jack Shore,2
Aaron Phillips,3
Matt Hobar,3
Sam Sicilia,12
Aaron Riley,8
Joe Brammer,2
Jorge Gurgel,7
Justin Salas,7
Robbie Lawler,20
Ross Pearson,26
Shane Nelson,3
Spencer Fisher,15
Tony Ferguson,18
James Te Huna,10
Aaron Rosa,3
Joey Beltran,10
Matt Lucas,1
Brad Tavares,19
Aaron Simpson,11
Chris Leben,22
Ed Herman,24
Eric Schafer,9
Kenny Robertson,9
Mario Miranda,4
Mark Munoz,15
Mike Pierce,14
Ronny Markes,5
Tim McKenzie,1
Tom Lawlor,11
Cody McKenzie,7
Aaron Wilkinson,1
Charlie Ward,2
Abdul Razak Alhassan,6
Khaos Williams,3
Mounir Lazzez,2
Niko Price,11
Omari Akhmedov,14
Sabah Homasi,2
Bojan Mihajlovic,3
Abdul-Kerim Edilov,1
Gleison Tibau,28
Abel Trujillo,10
James Vick,14
Jamie Varner,9
John Makdessi,17
Jordan Rinaldi,5
Khabib Nurmagomedov,13
Marcus LeVesseur,3
Roger Bowling,2
Tony Sims,3
Chris Gruetzemacher,5
Abner Lloveras,1
Vitor Miranda,7
Abu Azaitar,1
Abubakar Nurmagomedov,1
David Zawada,4
Tor Troeng,4
Adam Cella,1
Chris de la Rocha,4
Adam Milstead,4
Curtis Blaydes,12
Jordan Johnson,4
Mike Rodriguez,7
Anthony Hamilton,10
Adam Wieczorek,3
Arjan Bhullar,4
Marcos Rogerio de Lima,11
Adam Yandiev,1
Chris Spang,1
Adlan Amagov,2
TJ Waldburger,8
Shonie Carter,6
Adrian Serrano,1
Adrian Yanez,2
Gustavo Lopez,3
Victor Rodriguez,1
Adriano Martins,7
Daron Cruickshank,13
Donald Cerrone,34
Islam Makhachev,9
Juan Manuel Puig,2
Kajan Johnson,7
Leonardo Santos,9
Rustam Khabilov,13
Tulio Palhares,1
Adriano Santos,1
Aiemann Zahabi,4
Drako Rodriguez,1
Reginaldo Vieira,3
Ricardo Ramos,7
Vince Morales,4
Aisling Daly,3
Alex Chambers,5
Ericka Almeida,2
Randa Markos,16
Francisco Trinaldo,22
Akbarh Arreola,4
Jake Matthews,15
Tiago dos Santos e Silva,4
Yves Edwards,21
Dan Hardy,10
Akihiro Gono,3
Jon Fitch,17
Tamdan McCrory,9
Andy Ogle,6
Akira Corassani,6
Dustin Poirier,22
Max Holloway,21
Maximo Blanco,9
Robert Peralta,8
Al Iaquinta,13
Dan Hooker,16
Diego Sanchez,32
Joe Lauzon,26
Jorge Masvidal,19
Kevin Lee,16
Michael Chiesa,15
Mitch Clarke,7
Piotr Hallmann,6
Rodrigo Damm,7
Ryan Couture,2
Tom Aspinall,3
Alan Baudot,1
Alan Belcher,14
Denis Kang,3
Jason Day,3
Jason MacDonald,14
Jorge Santiago,6
Kalib Starnes,5
Kendall Grove,13
Michael Bisping,27
Patrick Cote,21
Rousimar Palhares,12
Sean Salmon,2
Wilson Gouveia,10
Yoshihiro Akiyama,7
Yushin Okami,20
Alan Jouban,13
Albert Tumenov,8
Belal Muhammad,13
Ben Saunders,19
Brendan O'Reilly,4
Dwight Grant,4
Gunnar Nelson,13
Jared Gooden,1
Matt Dwyer,4
Mike Perry,14
Richard Walsh,6
Seth Baczynski,11
Warlley Alves,12
Alan Omer,2
Arnold Allen,7
Jim Alers,4
Bobby Green,14
Alan Patrick,8
Damien Brown,6
Damir Hadzovic,7
Garett Whiteley,3
Mairbek Taisumov,9
Scott Holtzman,11
Stevie Ray,11
Albert Cheng,1
Anying Wang,2
Alejandro Perez,11
Albert Morales,6
Andre Soukhamthath,7
Benito Lopez,3
Brett Johns,7
Manny Bermudez,5
Thomas Almeida,9
Anthony Lapsley,2
Ildemar Alcantara,7
Leon Edwards,13
Lorenz Larkin,10
Nicholas Musoke,6
Remco Pardoel,5
Alberta Cerra Leon,1
Kurt Pellegrino,12
Alberto Crane,2
Roger Huerta,8
Mike Pyle,19
Alberto Mina,4
Ramazan Emeev,6
Shinsho Anzai,4
Jake Collier,8
Alberto Uda,2
Marvin Vettori,9
Cody Stamann,8
Eddie Wineland,15
Ian Entwistle,3
Iuri Alcantara,18
Jose Quinonez,9
Matthew Lopez,6
Patrick Williams,4
Scott Jorgensen,12
Song Yadong,7
Aleksa Camur,2
Justin Ledet,7
William Knight,1
Anthony Smith,15
Aleksandar Rakic,7
Devin Clark,11
Francimar Barroso,8
Jimi Manuwa,11
Thiago Santos,21
Volkan Oezdemir,9
Aleksandra Albu,4
Emily Whitmire,5
Izabela Badurek,1
Kailin Curran,7
Loma Lookboonmee,3
Elizeu Zaleski dos Santos,11
Aleksei Kunchenko,4
Gilbert Burns,16
Thiago Alves,26
Alistair Overeem,20
Aleksei Oleinik,14
Chris Daukaus,3
Daniel Omielanczuk,9
Derrick Lewis,21
Fabricio Werdum,17
Jared Rosholt,8
Junior Albini,5
Mark Hunt,17
Maurice Greene,7
Travis Browne,16
Viktor Pesta,5
Walt Harris,15
Alen Amedovski,2
John Phillips,6
Krzysztof Jotko,13
Alessio Di Chirico,9
Bojan Velickovic,6
Eric Spicely,7
Garreth McLellan,5
Joaquin Buckley,4
Julian Marquez,3
Kevin Holland,11
Makhmud Muradov,3
Oluwale Bamgbose,5
Zak Cummings,13
Brian Stann,11
Alessio Sakara,15
Chris Weidman,15
Dean Lister,6
Drew McFedries,9
Elvis Sinosic,7
Houston Alexander,6
James Irvin,10
James Lee,1
Joe Vedepo,2
Ron Faircloth,1
Thales Leites,21
Victor Valimaki,2
Amaury Bitetti,2
Alex Andrade,1
Alex Caceres,24
Austin Springer,1
Chase Hooper,3
Cole Escovedo,3
Cole Miller,20
Damacio Page,3
Edwin Figueroa,6
Francisco Rivera,11
Jason Knight,9
Jimy Hettes,6
Kevin Croom,2
Kron Gracie,2
Kyung Ho Kang,9
Mackens Semerzier,3
Martin Bravo,4
Masanori Kanehara,3
Masio Fullen,3
Motonobu Tezuka,2
Roland Delorme,7
Rolando Dy,4
Sergio Pettis,14
Steven Peterson,5
Urijah Faber,16
Wang Guan,1
Yair Rodriguez,9
Livinha Souza,5
Nadia Kassem,3
Paige VanZant,9
Alexander Yakovlev,9
Alex Da Silva,3
Brad Riddell,3
Kazula Vargas,2
Ben Wall,2
Alex Garcia,10
Court McGee,17
Mike Swick,15
Muslim Salikhov,5
Neil Magny,24
Ryan LaFlare,10
Sean Spencer,8
Sean Strickland,12
Tim Means,22
Alex Gorgees,1
Damir Ismagulov,3
Alex Hunter,2
Harry Moskowitz,1
Sam Fulton,1
Jason Von Flue,3
Alex Karalexis,3
Josh Rafferty,1
Kenny Florian,17
Anthony Pettis,19
Alex Morono,12
James Moontasri,6
Jordan Mein,9
Joshua Burkman,19
Keita Nakamura,11
Kyle Noke,12
Max Griffin,11
Rhys McKee,2
Song Kenan,6
Zak Ottow,8
Alex Nicholson,4
Jack Hermansson,12
Misha Cirkunov,10
Sam Alvey,20
Alex Oliveira,18
Carlo Pedersoli Jr.,3
Carlos Condit,17
Joe Merritt,1
KJ Noons,6
Nicolas Dalby,7
Peter Sobotta,10
Shavkat Rakhmonov,1
Will Brooks,4
Yancy Medeiros,14
Carls John De Tomas,2
Alex Perez,8
Deiveson Figueiredo,10
Eric Shelton,6
Jordan Espinosa,6
Jose Torres,2
Joseph Benavidez,17
Jussier Formiga,15
Mark De La Rosa,7
Alex Reyes,1
Jeremy Kennedy,4
Alex Ricci,2
Paul Felder,14
Alex Schoenauer,1
Alex Soto,2
Michael McDonald,9
Mark Hughes,1
Alex Stiebling,1
Alex Torres,1
Anthony Rocco Martin,15
Alex White,10
Artem Lobov,7
Clay Collard,4
Dan Moret,3
Estevan Payan,3
James Krause,13
Jim Miller,34
Lucas Martins,7
Rafael Fiziev,4
Carla Esparza,12
Alexa Grasso,8
Felice Herrig,9
Heather Clark,3
Ji Yeon Kim,6
Karolina Kowalkiewicz,11
Maycee Barber,5
Tatiana Suarez,5
Alexander Gustafsson,16
Anthony Johnson,17
Cyrille Diabate,8
Daniel Cormier,11
Glover Teixeira,20
Jan Blachowicz,14
Jared Hamman,7
Jon Jones,20
Matt Hamill,15
Mauricio Rua,17
Phil Davis,12
Thiago Silva,12
Vladimir Matyushenko,12
Beneil Dariush,18
Alexander Hernandez,7
Drew Dober,16
Olivier Aubin-Mercier,12
Thiago Moises,6
Nasrat Haqparast,7
Alexander Munoz,1
Chad Mendes,13
Alexander Volkanovski,8
Darren Elkins,23
Jose Aldo,14
Mizuto Hirota,7
Shane Young,4
Yusuke Kasuya,2
Alexander Volkov,9
Greg Hardy,8
Roy Nelson,19
Stefan Struve,24
Timothy Johnson,7
Demian Maia,32
George Sullivan,7
Gray Maynard,17
Joel Alvarez,4
Kamaru Usman,13
Roosevelt Roberts,7
Alexandr Romanov,2
Roque Martinez,2
Martin Kampmann,16
Alexandre Barros,1
Gan McGee,4
Alexandre Dantas,2
Yuki Kondo,3
Alexandre Ferreira,1
Alexandre Pantoja,10
Askar Askarov,4
Brandon Moreno,10
Dustin Ortiz,13
Manel Kape,2
Matt Schnell,8
Neil Seery,7
Wilson Reis,13
Yuta Sasaki,9
Alexis Davis,11
Cindy Dandois,1
Jennifer Maia,6
Jessica Eye,14
Katlyn Chookagian,12
Liz Carmouche,9
Ronda Rousey,8
Rosi Sexton,2
Sabina Mazo,5
Sara McMann,12
Sarah Kaufman,4
Viviane Araujo,5
Alexis Dufresne,2
Marion Reneau,12
Sarah Moras,9
Jens Pulver,8
Alfonso Alcarez,1
Irwin Rivera,3
Ali AlQaisi,2
Tony Kelley,2
Demetrious Johnson,14
Ali Bagautinov,7
